Date,Volume,Open,Close,High,Low
2023-11-01,2809436,5.32,5.33,5.45,5.0049
2023-10-31,1312080,5.28,5.43,5.55,5.2422
2023-10-30,1380682,5.37,5.33,5.49,5.2
2023-10-27,1855576,5.55,5.32,5.83,5.24
2023-10-26,3824006,5.2,5.51,5.64,4.95
2023-10-25,6174825,4.91,5.21,5.44,4.59
2023-10-24,3181402,4.82,4.93,4.93,4.64
2023-10-23,6467129,5.29,4.8,5.31,4.65
2023-10-20,4723533,5.57,5.38,5.66,5.25
2023-10-19,3651675,5.97,5.69,6.1,5.6101
2023-10-18,5485868,6.29,5.97,6.33,5.81
2023-10-17,6393454,6.37,6.46,6.84,6.24
2023-10-16,9554218,7.98,6.53,8.08,6.3
2023-10-13,4126551,7.84,7.98,8.44,7.78
2023-10-12,3732090,8.02,7.98,8.0398,7.62
2023-10-11,4310751,7.67,8.12,8.23,7.48
2023-10-10,3865549,7.28,7.49,7.61,7.01
2023-10-09,3648311,7.96,7.23,7.97,7.23
2023-10-06,3483578,8.08,8.03,8.28,7.65
2023-10-05,8846526,8.9,8.5,9.3,8.06
2023-10-04,5619218,9.37,8.05,9.37,7.98
2023-10-03,3251431,9.04,9.33,9.64,9
2023-10-02,6805183,11.11,9.8,11.7936,9.72
2023-09-29,4646685,12.21,12.5,13.61,12
2023-09-28,5015890,11.11,12.56,12.89,10.64
2023-09-27,3048042,12.61,11.22,12.74,11.08
2023-09-26,2263309,13.9,12.88,13.98,12.8
2023-09-25,2339738,15.05,14,15.21,13.62
2023-09-22,2242835,16.38,15.63,16.4,15.01
2023-09-21,3265149,16.89,15.75,17.1526,15.1637
2023-09-20,1381432,17.65,17.19,17.84,17.19
2023-09-19,2467334,17.14,17.8,18.1,17.03
2023-09-18,3055317,17.13,17.32,18.45,16.89
2023-09-15,3800927,16.5,17.53,17.88,16.5
2023-09-14,2087948,16.99,16.85,17.24,16.5255
2023-09-13,3039349,17.2,17.21,17.48,16.43
2023-09-12,7610010,16.49,17.21,18.33,15.45
2023-09-11,7664267,16,16.57,17.05,15.33
2023-09-08,8519681,19.48,17.15,19.49,16.33
2023-09-07,9849290,22,17.99,23.002,17.6
2023-09-06,5584939,26.7,24.5,27.2,24.47
2023-09-05,6276575,26.61,26.13,30.6199,26.02
2023-09-01,7348559,32.52,29.495,34.34,26.262
2023-08-31,6462401,44.3,34.71,44.4,33.56
2023-08-30,10724757,53.4,41.27,57.5,37.5
2023-08-29,10688175,74.52,46.25,76.93,46
2023-08-28,12670502,84,82.35,93,75.92
2023-08-25,15145280,55.2,68.77,73.9,55.03
2023-08-24,12885459,38.7,49,57.8,37.37
2023-08-23,8213022,30.17,37.03,45,29.8201
2023-08-22,19305779,19,36.72,46.9799,18.8
2023-08-21,2106567,16.78,17.58,18.89,16
2023-08-18,2974304,19.64,15.4,19.6774,11.61
2023-08-17,1797949,27.86,20,29.36,19.88
2023-08-16,3087362,26.5,30.11,30.55,24.1632
2023-08-15,6796692,22,37.06,38.7775,16
